Time [s], Analyzer Name, Decoded Protocol Result
1.948853812500000,Async Serial,0x2E
1.948856062500000,Async Serial,0x92
1.948858250000000,Async Serial,0x28
1.948860500000000,Async Serial,0x00
1.948862687500000,Async Serial,0x3E
1.948864937500000,Async Serial,0xC3
1.948867125000000,Async Serial,0x2E
1.948869375000000,Async Serial,0x39
1.948871562500000,Async Serial,0x9C
1.948873812500000,Async Serial,0x2F
1.948876062500000,Async Serial,0x4B
1.948878250000000,Async Serial,0x40
1.948880500000000,Async Serial,0x90
1.948882687500000,Async Serial,0xD0
1.948884937500000,Async Serial,0x80
1.948887125000000,Async Serial,0xDB
1.948889375000000,Async Serial,0xDC
1.948891625000000,Async Serial,0xB3
1.948893812500000,Async Serial,0x06
1.948896062500000,Async Serial,0x83
1.948898250000000,Async Serial,0xBE
1.948900500000000,Async Serial,0x59
1.948902687500000,Async Serial,0x37
1.948904937500000,Async Serial,0x7B
1.948907125000000,Async Serial,0x3D
1.948909375000000,Async Serial,0x35
1.948911625000000,Async Serial,0xB8
1.948913812500000,Async Serial,0xAB
1.948916062500000,Async Serial,0x3D
1.948918250000000,Async Serial,0x86
1.948920500000000,Async Serial,0xB6
1.948922687500000,Async Serial,0xCA
1.948924937500000,Async Serial,0xBC
1.948927125000000,Async Serial,0xC0
1.949022687500000,Async Serial,0xD7
1.949024875000000,Async Serial,0x92
1.949027125000000,Async Serial,0x28
1.949029312500000,Async Serial,0x00
1.949031562500000,Async Serial,0x3E
1.949033750000000,Async Serial,0xC3
1.949036000000000,Async Serial,0x2E
1.949038187500000,Async Serial,0x39
1.949040437500000,Async Serial,0x9C
1.949042687500000,Async Serial,0x24
1.949044875000000,Async Serial,0x4B
1.949047125000000,Async Serial,0x40
1.949049312500000,Async Serial,0x90
1.949051562500000,Async Serial,0xD0
1.949053750000000,Async Serial,0x80
1.949056000000000,Async Serial,0xDB
1.949058187500000,Async Serial,0xDC
1.949060437500000,Async Serial,0x3E
1.949062687500000,Async Serial,0x25
1.949064875000000,Async Serial,0x41
1.949067125000000,Async Serial,0x3E
1.949069312500000,Async Serial,0x36
1.949071562500000,Async Serial,0x89
1.949073750000000,Async Serial,0x2A
1.949076000000000,Async Serial,0xBE
1.949078187500000,Async Serial,0xA8
1.949080437500000,Async Serial,0x86
