Time [s], Analyzer Name, Decoded Protocol Result
2.308018625000000,Async Serial,0x54
2.308020812500000,Async Serial,0x19
2.308023062500000,Async Serial,0x2A
2.308025250000000,Async Serial,0x00
2.308027500000000,Async Serial,0x3E
2.308029687500000,Async Serial,0xC3
2.308031937500000,Async Serial,0x2E
2.308034125000000,Async Serial,0x39
2.308036375000000,Async Serial,0xB2
2.308038625000000,Async Serial,0x8E
2.308040812500000,Async Serial,0x4E
2.308043062500000,Async Serial,0x40
2.308045250000000,Async Serial,0xB4
2.308047500000000,Async Serial,0x04
2.308049687500000,Async Serial,0xA1
2.308051937500000,Async Serial,0x41
2.308054125000000,Async Serial,0xD0
2.308056375000000,Async Serial,0x2F
2.308058625000000,Async Serial,0xB6
2.308060812500000,Async Serial,0x3D
2.308063062500000,Async Serial,0x37
2.308065250000000,Async Serial,0x1F
2.308067500000000,Async Serial,0xB1
2.308069687500000,Async Serial,0x3C
2.308071937500000,Async Serial,0x00
2.308074125000000,Async Serial,0x00
2.308076375000000,Async Serial,0x00
2.308078625000000,Async Serial,0x00
2.308080812500000,Async Serial,0x00
2.308083062500000,Async Serial,0x00
2.308085250000000,Async Serial,0x00
2.308087500000000,Async Serial,0x00
2.308089687500000,Async Serial,0xC0
2.308213125000000,Async Serial,0x25
2.308215312500000,Async Serial,0x1A
2.308217562500000,Async Serial,0x2A
2.308219750000000,Async Serial,0x00
2.308222000000000,Async Serial,0x53
2.308224250000000,Async Serial,0x04
2.308226437500000,Async Serial,0x69
2.308228687500000,Async Serial,0x39
2.308230875000000,Async Serial,0xB2
2.308233125000000,Async Serial,0xAF
2.308235312500000,Async Serial,0x4E
2.308237562500000,Async Serial,0x40
2.308239750000000,Async Serial,0xA2
2.308242000000000,Async Serial,0xEA
2.308244250000000,Async Serial,0x10
2.308246437500000,Async Serial,0x41
2.308248687500000,Async Serial,0x08
2.308250875000000,Async Serial,0x95
2.308253125000000,Async Serial,0x92
2.308255312500000,Async Serial,0x3E
2.308257562500000,Async Serial,0x2D
2.308259750000000,Async Serial,0xCF
2.308262000000000,Async Serial,0x63
2.308264250000000,Async Serial,0xBF
2.308266437500000,Async Serial,0x85
2.308268687500000,Async Serial,0x16
2.308270875000000,Async Serial,0x5C
2.308273125000000,Async Serial,0x3D
2.308275312500000,Async Serial,0xB5
